Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
Hindustan Unilever,4.2,FMCG | London +457 other locations,"Highly Rated For Skill Development / Learning, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",5.3k,19.9k,336,19,705,1,500
KPMG India,3.5,Management Consulting | New Delhi +90 other locations,"Critically Rated For Work Life Balance, Promotions / Appraisal, Work Satisfaction",5.1k,50.8k,767,959,797,5,500
Max Life Insurance,4.1,Insurance | Gurgaon/Gurugram +424 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Job Security",5.1k,18.4k,284,285,523,6,500
Ujjivan Small Finance Bank,4.1,Banking | Bangalore/Bengaluru +466 other locations,"Highly Rated For Company Culture, Job Security, Skill Development / Learning",5.1k,12k,216,22,602,20,500
IIFL Finance,4,NBFC | Mumbai +717 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning, Salary & Benefits",5k,14.9k,238,55,443,15,500
Oracle,3.7,Emerging Technologies | Austin +51 other locations,"Highly Rated For Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5k,55.4k,868,1k,657,39,500
Udaan,4,Internet | Bangalore +343 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Work Life Balance  Critically Rated For Job Security",5k,17.6k,333,10,793,12,500
Tata Projects,4.3,Engineering & Construction | Mumbai +250 other locations,"Highly Rated For Job Security, Company Culture, Salary & Benefits",4.9k,20.1k,396,29,584,41,500
Ekart Logistics,4,San Francisco +645 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits  Critically Rated For Promotions / Appraisal",4.8k,13.2k,290,--,379,56,500
Muthoot Finance,3.6,NBFC | Kochi/Cochin +683 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",4.8k,12.3k,246,33,343,8,500
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Hyderabad/Secunderabad +325 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,4.7k,16.3k,418,12,572,20,500
eClerx,3.3,IT Services & Consulting | Mumbai +21 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.7k,28.1k,486,77,610,19,500
Omega Healthcare,3.8,BPO | Boca Raton +56 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",4.6k,22.3k,410,46,425,18,500
Aurobindo Pharma,4,Pharma | Hyderabad/Secunderabad +96 other locations,"Highly Rated For Job Security, Salary & Benefits, Work Life Balance",4.6k,21.5k,227,11,510,9,500
JLL,4.2,Real Estate | Mumbai +74 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture",4.6k,20.9k,327,36,581,14,500
Bajaj Allianz Life Insurance,4,Insurance | Pune +531 other locations,"Highly Rated For Salary & Benefits, Work Life Balance, Job Security",4.5k,15.7k,309,13,504,14,500
Shapoorji Pallonji Group,4.2,Engineering & Construction | Mumbai +178 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning",4.5k,15k,313,19,664,13,500
Siemens,4.1,Industrial Automation | Munich +138 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",4.5k,30.3k,416,715,687,13,500
HSBC Group,4,Financial Services | Pune +53 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",4.5k,35.9k,477,64,1.2k,5,500
Coforge,3.4,IT Services & Consulting | Noida +91 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.5k,39.9k,494,161,348,101,500
Virtusa Consulting Services,3.8,IT Services & Consulting | Southborough +42 other locations,Critically Rated For Promotions / Appraisal,4.4k,52k,549,928,349,16,500
Indiamart Intermesh,3.5,Internet | Noida +147 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",4.4k,18.9k,543,261,462,13,500
L&T Technology Services,3.4,IT Services & Consulting | Vadodara/Baroda +65 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.4k,37.3k,512,--,469,9,500
Apollo Hospitals,4.1,Healthcare | Chennai +195 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture",4.4k,15.8k,321,72,534,1,500
Ashok Leyland,4.1,Automobile | Chennai +225 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction, Work Life Balance  Critically Rated For Promotions / Appraisal",4.4k,18.2k,225,2,697,12,500
First Source,3.7,BPO | Mumbai +56 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",4.3k,21.7k,280,79,615,16,500
DMart,4,Retail | Mumbai +218 other locations,"Highly Rated For Job Security, Company Culture  Critically Rated For Promotions / Appraisal",4.3k,15.3k,382,114,493,8,500
Standard Chartered,3.8,Banking | London +62 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,4.3k,39.2k,261,271,348,--,500
BigBasket,3.9,Internet | Bangalore +122 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",4.3k,17.1k,341,26,443,27,500
JustDial,3.5,Internet | Mumbai +190 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Job Security",4.3k,15k,326,67,394,8,500
ICICI Lombard General Insurance Company,3.7,Insurance | Mumbai +272 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction",4.3k,18.7k,260,22,387,15,500
CGI Group,4,IT Services & Consulting | Montreal +33 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",4.2k,42k,470,240,441,4,500
